"headword","pos","pos_number","CEFR","pos_0","pos_1","pos_2","pos_3","pos_4","pos_5","pos_6","pos_7","pos_8","pos_9","pos_10","pos_11","pos_12","pos_13","pos_14","pos_other","tag","proficiency","answer","last_check","last_check_string"
"disagreement","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"disappear","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"disappearance","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disappoint","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"disappointed","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"disappointing","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"disappointment","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"disapproval","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disapprove","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"disaster","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"disastrous","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"disc","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"disc jockey","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"discharge","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disciple","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"discipline","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disco","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"discomfort","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"disconnect","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"discount","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"discourage","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"discover","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"discovery","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"discredit","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"discriminate","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"discrimination","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"discuss","verb",1,"A1",,"O",,,,,,,,,,,,,,,,-2,,,
"discussion","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"disease","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"disgrace","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disguise","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disguise","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"disgusting","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"dish","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"dishonest","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"dishonesty","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dishwasher","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"disillusion","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"disk","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"disk jockey","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"dislike","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"dislike","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"dismiss","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"disorder","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disorderly","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"disorganised","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"disorganized","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"dispensable","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"displace","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"display","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"display","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"displeasure","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disposal","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disposition","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dispute","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disqualify","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"disregard","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"disrupt","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"dissatisfaction","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dissatisfied","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"dissident","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dissolve","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"distance","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"distant","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"distinction","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"distinctly","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,,,
"distinguish","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"distinguished","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"distortion","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"distract","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"distraction","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"distressing","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"distribute","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"distribution","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"distributor","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"district","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"disturb","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"disturbance","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"dive","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"dive","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"diver","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"diverse","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"diversion","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"divert","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"divide","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"divide","verb",1,"A2",,"O",,,,,,,,,,,,,,,,,,,
"divided","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"divine","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"diving","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"division","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"divorce","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"divorce","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"divorced","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"dizzy","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"DJ","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"DNA","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"do","do-verb",10,"A1",,,,,,,,,,,"O",,,,,,,-2,"[略]",,
"doc","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"dock","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"doctor","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"document","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"documentary","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"does","do-verb",10,"A1",,,,,,,,,,,"O",,,,,,,-2,"[略]",,
"dog","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"doing","do-verb",10,"A1",,,,,,,,,,,"O",,,,,,,-2,"[略]",,
"doll","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"dollar","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"dolphin","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"domestic","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"dominate","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"donate","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"donation","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"done","do-verb",10,"A2",,,,,,,,,,,"O",,,,,,,-2,,,
"donkey","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"doom","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"door","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"doorkeeper","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"doorway","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dorm","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dormitory","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dose","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dot","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"double","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"double","noun",0,"B2","O",,,,,,,,,,,,,,,,,,,,
"double","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"doubly","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"doubt","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"doubt","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"doubtful","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"dove","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"down","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"down","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,,,,
"down","preposition",3,"A2",,,,"O",,,,,,,,,,,,,,,,,
"downfall","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"download","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"download","verb",1,"A2",,"O",,,,,,,,,,,,,,,,,,,
"downsize","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"downstairs","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"downstairs","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,,,,
"downtown","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"downward","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"dowry","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"doze","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"dozen","determiner",8,"B1",,,,,,,,,"O",,,,,,,,,-2,,,
"dozen","noun",0,"B1","O",,,,,,,,,,,,,,,,,,,,
"Dr","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"Dr.","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"draft","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"drag","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"drain","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"drain","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"drama","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"dramatic","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"dramatically","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"drapery","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"draught","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"draw","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"draw","verb",1,"A1",,"O",,,,,,,,,,,,,,,,,,,
"drawer","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"drawing","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"dread","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"dreadful","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"dream","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"dream","verb",1,"A2",,"O",,,,,,,,,,,,,,,,,,,
"dreamy","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"dress","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"dress","verb",1,"A2",,"O",,,,,,,,,,,,,,,,,,,
"dressed","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"drill","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"drink","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"drink","verb",1,"A1",,"O",,,,,,,,,,,,,,,,,,,
"drinkable","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"drive","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"drive","verb",1,"A2",,"O",,,,,,,,,,,,,,,,,,,
"driver","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"driver's license","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"driving licence","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"droop","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"drop","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"drop","verb",1,"A1",,"O",,,,,,,,,,,,,,,,,,,
"dropout","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"drought","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"drown","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"drug","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"drugstore","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"drum","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"drunk","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"dry","adjective",2,"A1",,,"O",,,,,,,,,,,,,,,-2,,,
"dry","verb",1,"A2",,"O",,,,,,,,,,,,,,,,,,,
"duck","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"dude","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"due","adjective",2,"A1",,,"O",,,,,,,,,,,,,,,-2,,,
"duel","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dull","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"dumb","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"dump","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"dump","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"duplicate","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"duplication","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"during","preposition",3,"A2",,,,"O",,,,,,,,,,,,,,-2,,,
"dust","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"dustbin","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"dusty","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"duty","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"duty-free","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"duvet","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"DVD","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"dwarf","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dye","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"dynamic","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"dynasty","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"each","determiner",8,"A1",,,,,,,,,"O",,,,,,,,,-2,,,
"each","pronoun",6,"A1",,,,,,,"O",,,,,,,,,,,,,,
"each other","pronoun",6,"A1",,,,,,,"O",,,,,,,,,,,-2,"互いに",,
"eager","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"eagerly","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"eagerness","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"eagle","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"ear","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"earache","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"early","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"early","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,,,,
"earn","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"earnest","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"earnings","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"earring","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"earth","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"earthquake","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"ease","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"ease","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"easily","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"east","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"east","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,,,,
"east","noun",0,"A2","O",,,,,,,,,,,,,,,,,,,,
"eastern","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"eastward","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"eastwards","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"easy","adjective",2,"A1",,,"O",,,,,,,,,,,,,,,-2,,,
"easygoing","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"easy-going","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"eat","verb",1,"A1",,"O",,,,,,,,,,,,,,,,-2,,,
"eco","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ecological","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"ecologically","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"ecologist","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"ecology","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"economic","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"economical","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"economics","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"economist","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"economy","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ecosystem","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ecstasy","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ecstatic","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"edge","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"edit","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"edit","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"edition","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"editor","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"editorial","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"educate","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"educated","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"education","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"educational","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"educator","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"effect","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"effective","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"effectively","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"effectiveness","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"efficiency","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"efficient","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"effort","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"egg","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"eight","number",7,"A1",,,,,,,,"O",,,,,,,,,,-2,"8",,
"eighteen","number",7,"A1",,,,,,,,"O",,,,,,,,,,-2,"18",,
"eighty","number",7,"A1",,,,,,,,"O",,,,,,,,,,-2,"80",,
"either","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"either","conjunction",5,"A2",,,,,,"O",,,,,,,,,,,,,,,
"either","determiner",8,"B1",,,,,,,,,"O",,,,,,,,,,,,
"either","pronoun",6,"B1",,,,,,,"O",,,,,,,,,,,,,,
"elbow","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"elderly","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"elect","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"election","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"elective","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"electric","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"electrical","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"electrician","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"electricity","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"electron","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"electronic","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"electronically","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"electronics","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"elegance","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"elegant","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"elegantly","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"element","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"elemental","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"elementary","adjective",2,"A1",,,"O",,,,,,,,,,,,,,,-2,,,
"elephant","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"elevator","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"eleven","number",7,"A1",,,,,,,,"O",,,,,,,,,,-2,"11",,
"eligible","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"eliminate","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"elite","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"eloquence","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"eloquent","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"else","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"elsewhere","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"email","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"email","noun",0,"A1","O",,,,,,,,,,,,,,,,,,,,
"e-mail","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"E-mail","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"embarrass","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"embarrassed","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"embarrassing","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"embarrassment","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"embassy","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"embrace","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"emerge","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"emergence","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"emergency","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"emotion","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"emotional","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"emotionally","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,,,
"emperor","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"emphasis","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"emphasise","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"emphasize","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"emphatically","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"empire","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"employ","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"employee","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"employer","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"employment","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"empty","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"enable","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"enclose","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"encounter","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"encounter","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"encourage","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"encouragement","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"encouraging","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"encyclopaedia","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"encyclopedia","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"end","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,,,
"end","verb",1,"A2",,"O",,,,,,,,,,,,,,,,,,,
"endanger","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"endangered","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"endeavor","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"endeavour","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"ending","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"endless","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"endlessly","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"endorse","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"endurance","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"endure","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"enduring","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"enemy","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"energetic","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
